Reaction identifier	Equation	Enzyme class	Enzymes	reaction_category	source
RHEA:48880	CO + a quinone + H2O = a quinol + CO2	EC:1.2.5.3 aerobic carbon monoxide dehydrogenase	9	oxygenase_cometabolism	reactions_excel
RHEA:24840	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + S-adenosyl-L-methionine = 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + CO + 5'-deoxyadenosine + formate + L-methionine + 3 H(+)	EC:4.1.99.17 phosphomethylpyrimidine synthase	22595	oxygenase_cometabolism	reactions_excel
RHEA:45212	Co(I)-[corrinoid Fe-S protein] + acetyl-CoA + H(+) = methyl-Co(III)-[corrinoid Fe-S protein] + CO + CoA	EC:2.3.1.169 CO-methylating acetyl-CoA synthase	504	oxygenase_cometabolism	reactions_excel
RHEA:50232	heme b + 6 reduced [2Fe-2S]-[ferredoxin] + 3 O2 + 8 H(+) = biliverdin IXalpha + CO + Fe(2+) + 6 oxidized [2Fe-2S]-[ferredoxin] + 3 H2O	EC:1.14.15.20 heme oxygenase (biliverdin-producing, ferredoxin)	0	oxygenase_cometabolism	reactions_excel
RHEA:52224	heme b + 3 AH2 + 3 O2 + 3 H(+) = biliverdin IXdelta + CO + Fe(2+) + 3 A + 3 H2O	EC:1.14.99.58 heme oxygenase (biliverdin-IX-beta and delta-forming)	3	oxygenase_cometabolism	reactions_excel
RHEA:52228	heme b + 3 AH2 + 3 O2 + 2 H(+) = biliverdin IXbeta + CO + Fe(2+) + 3 A + 3 H2O	EC:1.14.99.58 heme oxygenase (biliverdin-IX-beta and delta-forming)	2	oxygenase_cometabolism	reactions_excel
RHEA:60352	2-heptyl-3-hydroxy-4(1H)-quinolone + O2 = N-octanoylanthranilate + CO + H(+)		3	oxygenase_cometabolism	reactions_excel
RHEA:61456	7-chlorotetracycline + NADPH + O2 + H(+) = (1S,10S,10aS)-3-(CONH2)-9-Cl-1-(Me2N)-3,3a,4,10-(HO)4-10-Me-2,5-dioxo-1H,10aH,11H,11aH-cyclopenta[b]anthracen-6-olate + CO + NADP(+) + H2O		3	oxygenase_cometabolism	reactions_excel
RHEA:61564	a tetracycline + NADPH + O2 + H(+) = a (1S,10aS)-3-(CONH2)-1-(Me2N)-3,3a,4,6-(HO)4-2,5-dioxo-1H,10aH,11H,11aH-cyclopenta[b]anthracene + CO + NADP(+) + H2O		3	oxygenase_cometabolism	reactions_excel
RHEA:14161	1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + O2 = 3-(methylsulfanyl)propanoate + CO + formate + 2 H(+)	EC:1.13.11.53 acireductone dioxygenase (Ni(2+)-requiring)	8495	oxygenase_cometabolism	reactions_excel
